BehaviorSpace results (NetLogo 6.1.1),,,,,
landuse.nlogo,,,,,
study-experiment,,,,,
02/22/2021 14:57:32:058 +0000,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,
0,220,0,190,,
[run number],agro-payment-rate-ha,bio-payment-rate-ha,[step],total-hectares,total-cost
1,500,500,30,13200,6600000
2,500,500,30,12250,6125000
4,500,500,30,10050,5025000
3,500,500,30,13200,6600000
5,500,500,30,10650,5325000
36,1000,1000,30,12350,12350000
37,1000,1000,30,15600,15600000
39,1000,1000,30,13850,13850000
38,1000,1000,30,13450,13450000
40,1000,1000,30,12650,12650000
71,1500,1500,30,16350,24525000
72,1500,1500,30,16350,24525000
73,1500,1500,30,19350,29025000
74,1500,1500,30,15000,22500000
75,1500,1500,30,12650,18975000
106,2000,2000,30,19350,38700000
107,2000,2000,30,16250,32500000
108,2000,2000,30,17800,35600000
109,2000,2000,30,19750,39500000
110,2000,2000,30,18000,36000000
142,2500,2500,30,18850,47125000
141,2500,2500,30,20700,51750000
143,2500,2500,30,17950,44875000
144,2500,2500,30,19600,49000000
145,2500,2500,30,17400,43500000
176,3000,3000,30,16400,49200000
177,3000,3000,30,17700,53100000
178,3000,3000,30,15700,47100000
179,3000,3000,30,16100,48300000
180,3000,3000,30,17250,51750000
